company,domain,career_page,email_pattern,hr_emails_found,employees_found,discovered_at,last_updated
Xpansiv,xpansiv.com,,,0,0,2025-12-30T15:48:05.535411,2025-12-30T15:48:05.535422
INFUSE,infuse.com,,,0,0,2025-12-30T15:48:32.368776,2025-12-30T15:48:32.368783
Chainguard,chainguard.com,,,0,0,2025-12-30T15:48:57.904833,2025-12-30T15:48:57.904839
Unlimit,unlimit.com,,,0,0,2025-12-30T15:49:21.841269,2025-12-30T15:49:21.841276
Alpaca,alpaca.com,,,0,0,2025-12-30T15:49:49.016711,2025-12-30T15:49:49.016720
Digital Media Management,digitalmediamanagement.com,,,0,0,2025-12-31T06:05:40.129378,2025-12-31T06:05:40.129390
MyFunded Futures,myfundedfutures.com,,,0,0,2025-12-31T06:06:07.191760,2025-12-31T06:06:07.191768
WNS Global Services,wnsglobalservices.com,,,0,0,2025-12-31T10:06:47.929229,2025-12-31T10:06:47.929239
Agile Six,agilesix.com,,,0,0,2025-12-31T10:07:58.616637,2025-12-31T10:07:58.616645
SBI Growth,sbigrowth.com,,,0,0,2025-12-31T15:02:01.679080,2025-12-31T15:02:01.679092
xAI,xai.com,,,0,0,2026-01-01T05:19:54.159495,2026-01-01T05:19:54.159506
Muon Space,muonspace.com,,,0,0,2026-01-01T10:07:03.089400,2026-01-01T10:07:03.089412
Dexterity,dexterity.com,,,0,0,2026-01-02T05:16:23.607360,2026-01-02T05:16:23.607371
ClickHouse,clickhouse.com,,,0,0,2026-01-03T05:09:28.812662,2026-01-03T05:09:28.812672
Aegis Ventures,aegisventures.com,,,0,0,2026-01-03T05:09:53.356996,2026-01-03T05:09:53.357005
Assist World,assistworld.com,,,0,0,2026-01-03T10:02:32.971925,2026-01-03T10:02:32.971935
Metana,metana.in,,,0,0,2026-01-03T15:00:30.603152,2026-01-03T15:00:30.603164
SQUIRE,squire.com,,,0,0,2026-01-04T05:20:34.061546,2026-01-04T05:20:34.061557
Espresso,espresso.com,,,0,0,2026-01-04T10:01:50.686056,2026-01-04T10:01:50.686067
Malt,malt.com,,,0,0,2026-01-04T14:59:26.303393,2026-01-04T14:59:26.303404
Qualio,qualio.com,,,0,0,2026-01-05T04:47:11.418170,2026-01-05T04:47:11.418179
Recharge,recharge.com,,,0,0,2026-01-05T04:47:36.948986,2026-01-05T04:47:36.948994
Bugcrowd,bugcrowd.com,,,0,0,2026-01-05T04:48:03.665475,2026-01-05T04:48:03.665483
Jiga,jiga.in,,,0,0,2026-01-05T15:09:24.951621,2026-01-05T15:09:24.951630
Wpromote,wpromote.com,,,0,0,2026-01-06T05:15:16.812499,2026-01-06T05:15:16.812510
CertiK,certik.com,,,0,0,2026-01-06T10:10:15.599667,2026-01-06T10:10:15.599678
CoinGecko,coingecko.com,,,0,0,2026-01-06T15:06:48.236511,2026-01-06T15:06:48.236522
Bobsled,bobsled.com,,,0,0,2026-01-06T15:07:13.153085,2026-01-06T15:07:13.153095
Interview Kickstart,interviewkickstart.com,,,0,0,2026-01-06T15:07:38.623331,2026-01-06T15:07:38.623361
Axle,axle.com,,,0,0,2026-01-07T05:16:45.665802,2026-01-07T05:16:45.665811
DISHER,disher.com,,,0,0,2026-01-07T05:17:11.549517,2026-01-07T05:17:11.549525
Trase Systems,trasesystems.com,,,0,0,2026-01-07T05:17:36.149118,2026-01-07T05:17:36.149126
Digible,digible.com,,,0,0,2026-01-07T05:18:00.470524,2026-01-07T05:18:00.470530
Highstreet,highstreet.com,,,0,0,2026-01-07T05:18:24.651701,2026-01-07T05:18:24.651708
Recidiviz,recidiviz.com,,,0,0,2026-01-07T10:11:27.127252,2026-01-07T10:11:27.127264
OpenAI,openai.com,,,0,0,2026-01-07T10:11:52.949326,2026-01-07T10:11:52.949336
Tech Solutions Inc.,techsolutionsinc.com,,,0,0,2026-01-07T10:12:16.947451,2026-01-07T10:12:16.947460
Cloudbeds,cloudbeds.com,,,0,0,2026-01-07T10:12:41.243957,2026-01-07T10:12:41.243966
